_id,Date,NumberAdmitted,SevenDayAverage,SevenDayAverageQF
1,20200301,1,,z
2,20200303,1,,z
3,20200304,1,,z
4,20200305,3,,z
5,20200306,4,,z
6,20200307,2,,z
7,20200308,1,1.85714285714286,""
8,20200309,6,2.57142857142857,""
9,20200310,9,3.71428571428571,""
10,20200311,14,5.57142857142857,""
11,20200312,7,6.14285714285714,""
12,20200313,4,6.14285714285714,""
13,20200314,9,7.14285714285714,""
14,20200315,8,8.14285714285714,""
15,20200316,10,8.71428571428571,""
16,20200317,22,10.5714285714286,""
17,20200318,18,11.1428571428571,""
18,20200319,26,13.8571428571429,""
19,20200320,47,20,""
20,20200321,49,25.7142857142857,""
21,20200322,37,29.8571428571429,""
22,20200323,71,38.5714285714286,""
23,20200324,72,45.7142857142857,""
24,20200325,92,56.2857142857143,""
25,20200326,108,68,""
26,20200327,118,78.1428571428571,""
27,20200328,140,91.1428571428571,""
28,20200329,117,102.571428571429,""
29,20200330,153,114.285714285714,""
30,20200331,146,124.857142857143,""
31,20200401,187,138.428571428571,""
32,20200402,141,143.142857142857,""
33,20200403,179,151.857142857143,""
34,20200404,130,150.428571428571,""
35,20200405,133,152.714285714286,""
36,20200406,168,154.857142857143,""
37,20200407,142,154.285714285714,""
38,20200408,120,144.714285714286,""
39,20200409,109,140.142857142857,""
40,20200410,96,128.285714285714,""
41,20200411,64,118.857142857143,""
42,20200412,66,109.285714285714,""
43,20200413,84,97.2857142857143,""
44,20200414,83,88.8571428571429,""
45,20200415,76,82.5714285714286,""
46,20200416,77,78,""
47,20200417,80,75.7142857142857,""
48,20200418,60,75.1428571428571,""
49,20200419,47,72.4285714285714,""
50,20200420,55,68.2857142857143,""
51,20200421,55,64.2857142857143,""
52,20200422,50,60.5714285714286,""
53,20200423,51,56.8571428571429,""
54,20200424,68,55.1428571428571,""
55,20200425,30,50.8571428571429,""
56,20200426,30,48.4285714285714,""
57,20200427,57,48.7142857142857,""
58,20200428,51,48.1428571428571,""
59,20200429,35,46,""
60,20200430,35,43.7142857142857,""
61,20200501,38,39.4285714285714,""
62,20200502,34,40,""
63,20200503,32,40.2857142857143,""
64,20200504,39,37.7142857142857,""
65,20200505,29,34.5714285714286,""
66,20200506,36,34.7142857142857,""
67,20200507,26,33.4285714285714,""
68,20200508,25,31.5714285714286,""
69,20200509,15,28.8571428571429,""
70,20200510,24,27.7142857142857,""
71,20200511,27,26,""
72,20200512,27,25.7142857142857,""
73,20200513,20,23.4285714285714,""
74,20200514,20,22.5714285714286,""
75,20200515,23,22.2857142857143,""
76,20200516,14,22.1428571428571,""
77,20200517,8,19.8571428571429,""
78,20200518,22,19.1428571428571,""
79,20200519,6,16.1428571428571,""
80,20200520,12,15,""
81,20200521,10,13.5714285714286,""
82,20200522,13,12.1428571428571,""
83,20200523,11,11.7142857142857,""
84,20200524,6,11.4285714285714,""
85,20200525,8,9.42857142857143,""
86,20200526,8,9.71428571428571,""
87,20200527,7,9,""
88,20200528,4,8.14285714285714,""
89,20200529,9,7.57142857142857,""
90,20200530,2,6.28571428571429,""
91,20200531,8,6.57142857142857,""
92,20200601,3,5.85714285714286,""
93,20200602,2,5,""
94,20200603,4,4.57142857142857,""
95,20200604,4,4.57142857142857,""
96,20200605,8,4.42857142857143,""
97,20200606,4,4.71428571428571,""
98,20200607,4,4.14285714285714,""
99,20200608,3,4.14285714285714,""
100,20200609,4,4.42857142857143,""
101,20200610,4,4.42857142857143,""
102,20200611,4,4.42857142857143,""
103,20200613,3,3.71428571428571,""
104,20200614,4,3.71428571428571,""
105,20200615,4,3.71428571428571,""
106,20200616,4,3.85714285714286,""
107,20200617,3,3.71428571428571,""
108,20200619,3,3.57142857142857,""
109,20200620,1,3.14285714285714,""
110,20200622,4,3.28571428571429,""
111,20200623,2,3,""
112,20200624,1,2.57142857142857,""
113,20200625,2,2.28571428571429,""
114,20200627,1,2,""
115,20200628,1,1.71428571428571,""
116,20200629,1,1.71428571428571,""
117,20200701,2,1.42857142857143,""
118,20200703,1,1.28571428571429,""
119,20200705,1,1.28571428571429,""
120,20200706,2,1.28571428571429,""
121,20200710,2,1.42857142857143,""
122,20200711,2,1.57142857142857,""
123,20200714,1,1.57142857142857,""
124,20200716,1,1.42857142857143,""
125,20200719,2,1.57142857142857,""
126,20200725,3,1.85714285714286,""
127,20200729,2,1.85714285714286,""
128,20200801,1,1.71428571428571,""
129,20200804,1,1.57142857142857,""
130,20200805,1,1.57142857142857,""
131,20200807,1,1.57142857142857,""
132,20200810,3,1.71428571428571,""
133,20200811,1,1.42857142857143,""
134,20200813,1,1.28571428571429,""
135,20200814,2,1.42857142857143,""
136,20200815,3,1.71428571428571,""
137,20200816,1,1.71428571428571,""
138,20200817,2,1.85714285714286,""
139,20200818,1,1.57142857142857,""
140,20200819,2,1.71428571428571,""
141,20200820,3,2,""
142,20200821,2,2,""
143,20200822,2,1.85714285714286,""
144,20200824,2,2,""
145,20200825,4,2.28571428571429,""
146,20200826,3,2.57142857142857,""
147,20200827,2,2.57142857142857,""
148,20200828,3,2.57142857142857,""
149,20200829,2,2.57142857142857,""
150,20200830,2,2.57142857142857,""
151,20200831,2,2.57142857142857,""
152,20200901,1,2.14285714285714,""
153,20200902,3,2.14285714285714,""
154,20200903,1,2,""
155,20200904,8,2.71428571428571,""
156,20200905,3,2.85714285714286,""
157,20200906,1,2.71428571428571,""
158,20200907,7,3.42857142857143,""
159,20200908,5,4,""
160,20200909,3,4,""
161,20200910,7,4.85714285714286,""
162,20200911,6,4.57142857142857,""
163,20200912,5,4.85714285714286,""
164,20200913,4,5.28571428571429,""
165,20200914,9,5.57142857142857,""
166,20200915,6,5.71428571428571,""
167,20200916,15,7.42857142857143,""
168,20200917,8,7.57142857142857,""
169,20200918,6,7.57142857142857,""
170,20200919,8,8,""
171,20200920,10,8.85714285714286,""
172,20200921,9,8.85714285714286,""
173,20200922,22,11.1428571428571,""
174,20200923,13,10.8571428571429,""
175,20200924,20,12.5714285714286,""
176,20200925,17,14.1428571428571,""
177,20200926,12,14.7142857142857,""
178,20200927,20,16.1428571428571,""
179,20200928,26,18.5714285714286,""
180,20200929,17,17.8571428571429,""
181,20200930,23,19.2857142857143,""
182,20201001,31,20.8571428571429,""
183,20201002,35,23.4285714285714,""
184,20201003,28,25.7142857142857,""
185,20201004,29,27,""
186,20201005,46,29.8571428571429,""
187,20201006,58,35.7142857142857,""
188,20201007,50,39.5714285714286,""
189,20201008,56,43.1428571428571,""
190,20201009,42,44.1428571428571,""
191,20201010,45,46.5714285714286,""
192,20201011,54,50.1428571428571,""
193,20201012,71,53.7142857142857,""
194,20201013,84,57.4285714285714,""
195,20201014,70,60.2857142857143,""
196,20201015,75,63,""
197,20201016,97,70.8571428571429,""
198,20201017,68,74.1428571428571,""
199,20201018,62,75.2857142857143,""
200,20201019,94,78.5714285714286,""
201,20201020,105,81.5714285714286,""
202,20201021,92,84.7142857142857,""
203,20201022,96,87.7142857142857,""
204,20201023,93,87.1428571428571,""
205,20201024,75,88.1428571428571,""
206,20201025,89,92,""
207,20201026,96,92.2857142857143,""
208,20201027,96,91,""
209,20201028,95,91.4285714285714,""
210,20201029,68,87.4285714285714,""
211,20201030,100,88.4285714285714,""
212,20201031,77,88.7142857142857,""
213,20201101,79,87.2857142857143,""
214,20201102,69,83.4285714285714,""
215,20201103,83,81.5714285714286,""
216,20201104,75,78.7142857142857,""
217,20201105,66,78.4285714285714,""
218,20201106,63,73.1428571428571,""
219,20201107,55,70,""
220,20201108,63,67.7142857142857,""
221,20201109,67,67.4285714285714,""
222,20201110,61,64.2857142857143,""
223,20201111,70,63.5714285714286,""
224,20201112,72,64.4285714285714,""
225,20201113,71,65.5714285714286,""
226,20201114,72,68,""
227,20201115,65,68.2857142857143,""
228,20201116,65,68,""
229,20201117,72,69.5714285714286,""
230,20201118,63,68.5714285714286,""
231,20201119,69,68.1428571428571,""
232,20201120,74,68.5714285714286,""
233,20201121,61,67,""
234,20201122,48,64.5714285714286,""
235,20201123,74,65.8571428571429,""
236,20201124,71,65.7142857142857,""
237,20201125,58,65,""
238,20201126,46,61.7142857142857,""
239,20201127,49,58.1428571428571,""
240,20201128,37,54.7142857142857,""
241,20201129,42,53.8571428571429,""
242,20201130,52,50.7142857142857,""
243,20201201,39,46.1428571428571,""
244,20201202,61,46.5714285714286,""
245,20201203,42,46,""
246,20201204,52,46.4285714285714,""
247,20201205,41,47,""
248,20201206,40,46.7142857142857,""
249,20201207,55,47.1428571428571,""
250,20201208,53,49.1428571428571,""
251,20201209,42,46.4285714285714,""
252,20201210,49,47.4285714285714,""
253,20201211,60,48.5714285714286,""
254,20201212,41,48.5714285714286,""
255,20201213,43,49,""
256,20201214,69,51,""
257,20201215,47,50.1428571428571,""
258,20201216,63,53.1428571428571,""
259,20201217,61,54.8571428571429,""
260,20201218,54,54,""
261,20201219,52,55.5714285714286,""
262,20201220,48,56.2857142857143,""
263,20201221,67,56,""
264,20201222,53,56.8571428571429,""
265,20201223,59,56.2857142857143,""
266,20201224,45,54,""
267,20201225,45,52.7142857142857,""
268,20201226,64,54.4285714285714,""
269,20201227,85,59.7142857142857,""
270,20201228,95,63.7142857142857,""
271,20201229,109,71.7142857142857,""
272,20201230,111,79.1428571428571,""
273,20201231,115,89.1428571428571,""
274,20210101,91,95.7142857142857,""
275,20210102,101,101,""
276,20210103,98,102.857142857143,""
277,20210104,129,107.714285714286,""
278,20210105,129,110.571428571429,""
279,20210106,142,115,""
280,20210107,144,119.142857142857,""
281,20210108,140,126.142857142857,""
282,20210109,134,130.857142857143,""
283,20210110,132,135.714285714286,""
284,20210111,179,142.857142857143,""
285,20210112,156,146.714285714286,""
286,20210113,130,145,""
287,20210114,135,143.714285714286,""
288,20210115,153,145.571428571429,""
289,20210116,124,144.142857142857,""
290,20210117,116,141.857142857143,""
291,20210118,123,133.857142857143,""
292,20210119,149,132.857142857143,""
293,20210120,133,133.285714285714,""
294,20210121,141,134.142857142857,""
295,20210122,119,129.285714285714,""
296,20210123,111,127.428571428571,""
297,20210124,81,122.428571428571,""
298,20210125,116,121.428571428571,""
299,20210126,118,117,""
300,20210127,113,114.142857142857,""
301,20210128,101,108.428571428571,""
302,20210129,110,107.142857142857,""
303,20210130,78,102.428571428571,""
304,20210131,77,101.857142857143,""
305,20210201,99,99.4285714285714,""
306,20210202,83,94.4285714285714,""
307,20210203,74,88.8571428571429,""
308,20210204,85,86.5714285714286,""
309,20210205,82,82.5714285714286,""
310,20210206,68,81.1428571428571,""
311,20210207,72,80.4285714285714,""
312,20210208,56,74.2857142857143,""
313,20210209,78,73.5714285714286,""
314,20210210,65,72.2857142857143,""
315,20210211,81,71.7142857142857,""
316,20210212,68,69.7142857142857,""
317,20210213,58,68.2857142857143,""
318,20210214,59,66.4285714285714,""
319,20210215,55,66.2857142857143,""
320,20210216,84,67.1428571428571,""
321,20210217,53,65.4285714285714,""
322,20210218,56,61.8571428571429,""
323,20210219,72,62.4285714285714,""
324,20210220,64,63.2857142857143,""
325,20210221,53,62.4285714285714,""
326,20210222,61,63.2857142857143,""
327,20210223,53,58.8571428571429,""
328,20210224,46,57.8571428571429,""
329,20210225,45,56.2857142857143,""
330,20210226,51,53.2857142857143,""
331,20210227,43,50.2857142857143,""
332,20210228,41,48.5714285714286,""
333,20210301,55,47.7142857142857,""
334,20210302,51,47.4285714285714,""
335,20210303,33,45.5714285714286,""
336,20210304,33,43.8571428571429,""
337,20210305,32,41.1428571428571,""
338,20210306,24,38.4285714285714,""
339,20210307,18,35.1428571428571,""
340,20210308,28,31.2857142857143,""
341,20210309,33,28.7142857142857,""
342,20210310,28,28,""
343,20210311,24,26.7142857142857,""
344,20210312,27,26,""
345,20210313,23,25.8571428571429,""
346,20210314,23,26.5714285714286,""
347,20210315,33,27.2857142857143,""
348,20210316,19,25.2857142857143,""
349,20210317,24,24.7142857142857,""
350,20210318,27,25.1428571428571,""
351,20210319,18,23.8571428571429,""
352,20210320,17,23,""
353,20210321,22,22.8571428571429,""
354,20210322,20,21,""
355,20210323,24,21.7142857142857,""
356,20210324,22,21.4285714285714,""
357,20210325,27,21.4285714285714,""
358,20210326,19,21.5714285714286,""
359,20210327,14,21.1428571428571,""
360,20210328,22,21.1428571428571,""
361,20210329,19,21,""
362,20210330,13,19.4285714285714,""
363,20210331,18,18.8571428571429,""
364,20210401,18,17.5714285714286,""
365,20210402,24,18.2857142857143,""
366,20210403,15,18.4285714285714,""
367,20210404,12,17,""
368,20210405,23,17.5714285714286,""
369,20210406,15,17.8571428571429,""
370,20210407,16,17.5714285714286,""
371,20210408,16,17.2857142857143,""
372,20210409,16,16.1428571428571,""
373,20210410,11,15.5714285714286,""
374,20210411,9,15.1428571428571,""
375,20210412,7,12.8571428571429,""
376,20210413,8,11.8571428571429,""
377,20210414,13,11.4285714285714,""
378,20210415,12,10.8571428571429,""
379,20210416,10,10,""
380,20210417,8,9.57142857142857,""
381,20210418,9,9.57142857142857,""
382,20210419,10,10,""
383,20210420,9,10.1428571428571,""
384,20210421,8,9.42857142857143,""
385,20210422,10,9.14285714285714,""
386,20210423,13,9.57142857142857,""
387,20210424,6,9.28571428571429,""
388,20210425,7,9,""
389,20210426,8,8.71428571428571,""
390,20210427,8,8.57142857142857,""
391,20210428,3,7.85714285714286,""
392,20210429,8,7.57142857142857,""
393,20210430,11,7.28571428571429,""
394,20210501,8,7.57142857142857,""
395,20210502,7,7.57142857142857,""
396,20210503,6,7.28571428571429,""
397,20210504,6,7,""
398,20210505,6,7.42857142857143,""
399,20210506,14,8.28571428571429,""
400,20210507,7,7.71428571428571,""
401,20210508,11,8.14285714285714,""
402,20210509,8,8.28571428571429,""
403,20210510,5,8.14285714285714,""
404,20210511,10,8.71428571428571,""
405,20210512,10,9.28571428571429,""
406,20210513,7,8.28571428571429,""
407,20210514,8,8.42857142857143,""
408,20210515,6,7.71428571428571,""
409,20210516,11,8.14285714285714,""
410,20210517,11,9,""
411,20210518,15,9.71428571428571,""
412,20210519,16,10.5714285714286,""
413,20210520,16,11.8571428571429,""
414,20210521,21,13.7142857142857,""
415,20210522,16,15.1428571428571,""
416,20210523,12,15.2857142857143,""
417,20210524,16,16,""
418,20210525,15,16,""
419,20210526,9,15,""
420,20210527,11,14.2857142857143,""
421,20210528,19,14,""
422,20210529,20,14.5714285714286,""
423,20210530,16,15.1428571428571,""
424,20210531,16,15.1428571428571,""
425,20210601,28,17,""
426,20210602,15,17.8571428571429,""
427,20210603,24,19.7142857142857,""
428,20210604,18,19.5714285714286,""
429,20210605,18,19.2857142857143,""
430,20210606,25,20.5714285714286,""
431,20210607,23,21.5714285714286,""
432,20210608,19,20.2857142857143,""
433,20210609,17,20.5714285714286,""
434,20210610,26,20.8571428571429,""
435,20210611,19,21,""
436,20210612,25,22,""
437,20210613,21,21.4285714285714,""
438,20210614,29,22.2857142857143,""
439,20210615,23,22.8571428571429,""
440,20210616,33,25.1428571428571,""
441,20210617,18,24,""
442,20210618,38,26.7142857142857,""
443,20210619,23,26.4285714285714,""
444,20210620,22,26.5714285714286,""
445,20210621,26,26.1428571428571,""
446,20210622,33,27.5714285714286,""
447,20210623,41,28.7142857142857,""
448,20210624,35,31.1428571428571,""
449,20210625,32,30.2857142857143,""
450,20210626,29,31.1428571428571,""
451,20210627,27,31.8571428571429,""
452,20210628,48,35,""
453,20210629,53,37.8571428571429,""
454,20210630,50,39.1428571428571,""
455,20210701,50,41.2857142857143,""
456,20210702,57,44.8571428571429,""
457,20210703,46,47.2857142857143,""
458,20210704,62,52.2857142857143,""
459,20210705,67,55,""
460,20210706,85,59.5714285714286,""
461,20210707,86,64.7142857142857,""
462,20210708,81,69.1428571428571,""
463,20210709,71,71.1428571428571,""
464,20210710,65,73.8571428571429,""
465,20210711,53,72.5714285714286,""
466,20210712,83,74.8571428571429,""
467,20210713,85,74.8571428571429,""
468,20210714,63,71.5714285714286,""
469,20210715,66,69.4285714285714,""
470,20210716,56,67.2857142857143,""
471,20210717,43,64.1428571428571,""
472,20210718,52,64,""
473,20210719,59,60.5714285714286,""
474,20210720,50,55.5714285714286,""
475,20210721,67,56.1428571428571,""
476,20210722,51,54,""
477,20210723,51,53.2857142857143,""
478,20210724,36,52.2857142857143,""
479,20210725,37,50.1428571428571,""
480,20210726,45,48.1428571428571,""
481,20210727,49,48,""
482,20210728,56,46.4285714285714,""
483,20210729,33,43.8571428571429,""
484,20210730,36,41.7142857142857,""
485,20210731,27,40.4285714285714,""
486,20210801,31,39.5714285714286,""
487,20210802,43,39.2857142857143,""
488,20210803,35,37.2857142857143,""
489,20210804,33,34,""
490,20210805,42,35.2857142857143,""
491,20210806,40,35.8571428571429,""
492,20210807,28,36,""
493,20210808,27,35.4285714285714,""
494,20210809,28,33.2857142857143,""
495,20210810,52,35.7142857142857,""
496,20210811,29,35.1428571428571,""
497,20210812,29,33.2857142857143,""
498,20210813,29,31.7142857142857,""
499,20210814,28,31.7142857142857,""
500,20210815,24,31.2857142857143,""
501,20210816,18,29.8571428571429,""
502,20210817,40,28.1428571428571,""
503,20210818,41,29.8571428571429,""
504,20210819,38,31.1428571428571,""
505,20210820,51,34.2857142857143,""
506,20210821,37,35.5714285714286,""
507,20210822,40,37.8571428571429,""
508,20210823,50,42.4285714285714,""
509,20210824,62,45.5714285714286,""
510,20210825,82,51.4285714285714,""
511,20210826,78,57.1428571428571,""
512,20210827,84,61.8571428571429,""
513,20210828,78,67.7142857142857,""
514,20210829,76,72.8571428571429,""
515,20210830,84,77.7142857142857,""
516,20210831,104,83.7142857142857,""
517,20210901,121,89.2857142857143,""
518,20210902,96,91.8571428571429,""
519,20210903,120,97,""
520,20210904,101,100.285714285714,""
521,20210905,87,101.857142857143,""
522,20210906,132,108.714285714286,""
523,20210907,162,117,""
524,20210908,130,118.285714285714,""
525,20210909,133,123.571428571429,""
526,20210910,143,126.857142857143,""
527,20210911,111,128.285714285714,""
528,20210912,114,132.142857142857,""
529,20210913,141,133.428571428571,""
530,20210914,134,129.428571428571,""
531,20210915,138,130.571428571429,""
532,20210916,121,128.857142857143,""
533,20210917,113,124.571428571429,""
534,20210918,92,121.857142857143,""
535,20210919,78,116.714285714286,""
536,20210920,118,113.428571428571,""
537,20210921,95,107.857142857143,""
538,20210922,85,100.285714285714,""
539,20210923,92,96.1428571428571,""
540,20210924,79,91.2857142857143,""
541,20210925,72,88.4285714285714,""
542,20210926,67,86.8571428571429,""
543,20210927,88,82.5714285714286,""
544,20210928,86,81.2857142857143,""
545,20210929,75,79.8571428571429,""
546,20210930,63,75.7142857142857,""
547,20211001,74,75,""
548,20211002,70,74.7142857142857,""
549,20211003,76,76,""
550,20211004,96,77.1428571428571,""
551,20211005,78,76,""
552,20211006,71,75.4285714285714,""
553,20211007,84,78.4285714285714,""
554,20211008,88,80.4285714285714,""
555,20211009,65,79.7142857142857,""
556,20211010,57,77,""
557,20211011,60,71.8571428571429,""
558,20211012,72,71,""
559,20211013,58,69.1428571428571,""
560,20211014,79,68.4285714285714,""
561,20211015,80,67.2857142857143,""
562,20211016,63,67,""
563,20211017,48,65.7142857142857,""
564,20211018,89,69.8571428571429,""
565,20211019,99,73.7142857142857,""
566,20211020,85,77.5714285714286,""
567,20211021,80,77.7142857142857,""
568,20211022,85,78.4285714285714,""
569,20211023,62,78.2857142857143,""
570,20211024,63,80.4285714285714,""
571,20211025,90,80.5714285714286,""
572,20211026,88,79,""
573,20211027,86,79.1428571428571,""
574,20211028,79,79,""
575,20211029,87,79.2857142857143,""
576,20211030,61,79.1428571428571,""
577,20211031,63,79.1428571428571,""
578,20211101,92,79.4285714285714,""
579,20211102,81,78.4285714285714,""
580,20211103,78,77.2857142857143,""
581,20211104,66,75.4285714285714,""
582,20211105,72,73.2857142857143,""
583,20211106,52,72,""
584,20211107,57,71.1428571428571,""
585,20211108,84,70,""
586,20211109,82,70.1428571428571,""
587,20211110,64,68.1428571428571,""
588,20211111,86,71,""
589,20211112,59,69.1428571428571,""
590,20211113,38,67.1428571428571,""
591,20211114,61,67.7142857142857,""
592,20211115,68,65.4285714285714,""
593,20211116,74,64.2857142857143,""
594,20211117,58,63.4285714285714,""
595,20211118,54,58.8571428571429,""
596,20211119,54,58.1428571428571,""
597,20211120,35,57.7142857142857,""
598,20211121,40,54.7142857142857,""
599,20211122,66,54.4285714285714,""
600,20211123,55,51.7142857142857,""
601,20211124,65,52.7142857142857,""
602,20211125,52,52.4285714285714,""
603,20211126,47,51.4285714285714,""
604,20211127,39,52,""
605,20211128,40,52,""
606,20211129,66,52,""
607,20211130,47,50.8571428571429,""
608,20211201,50,48.7142857142857,""
609,20211202,45,47.7142857142857,""
610,20211203,34,45.8571428571429,""
611,20211204,48,47.1428571428571,""
612,20211205,37,46.7142857142857,""
613,20211206,63,46.2857142857143,""
614,20211207,63,48.5714285714286,""
615,20211208,61,50.1428571428571,""
616,20211209,64,52.8571428571429,""
617,20211210,38,53.4285714285714,""
618,20211211,33,51.2857142857143,""
619,20211212,32,50.5714285714286,""
620,20211213,53,49.1428571428571,""
621,20211214,48,47,""
622,20211215,53,45.8571428571429,""
623,20211216,47,43.4285714285714,""
624,20211217,41,43.8571428571429,""
625,20211218,43,45.2857142857143,""
626,20211219,35,45.7142857142857,""
627,20211220,70,48.1428571428571,""
628,20211221,54,49,""
629,20211222,66,50.8571428571429,""
